"Name,""SI"",""Handles"",""VM"",""WS"",""PM"",""NPM"",""Path"",""Company"",""CPU"",""FileVersion"",""ProductVersion"",""Description"",""Product"",""__NounName"",""BasePriority"",""ExitCode"",""HasExited"",""ExitTime"",""Handle"",""SafeHandle"",""HandleCount"",""Id"",""MachineName"",""MainWindowHandle"",""MainWindowTitle"",""MainModule"",""MaxWorkingSet"",""MinWorkingSet"",""Modules"",""NonpagedSystemMemorySize"",""NonpagedSystemMemorySize64"",""PagedMemorySize"",""PagedMemorySize64"",""PagedSystemMemorySize"",""PagedSystemMemorySize64"",""PeakPagedMemorySize"",""PeakPagedMemorySize64"",""PeakWorkingSet"",""PeakWorkingSet64"",""PeakVirtualMemorySize"",""PeakVirtualMemorySize64"",""PriorityBoostEnabled"",""PriorityClass"",""PrivateMemorySize"",""PrivateMemorySize64"",""PrivilegedProcessorTime"",""ProcessName"",""ProcessorAffinity"",""Responding"",""SessionId"",""StartInfo"",""StartTime"",""SynchronizingObject"",""Threads"",""TotalProcessorTime"",""UserProcessorTime"",""VirtualMemorySize"",""VirtualMemorySize64"",""EnableRaisingEvents"",""StandardInput"",""StandardOutput"",""StandardError"",""WorkingSet"",""WorkingSet64"",""Site"",""Container"""
"AeXAgentUIHost,""24"",""162"",""91783168"",""8691712"",""2404352"",""13040"",""E:\APPL\WINAPP64\TELED\PROD\Altiris\Altiris Agent\AeXAgentUIHost.exe"",""Broadcom"",""0,109375"",""8.5.5713"",""8.5.5713"",""Symantec Management Agent 8.5 RU4"",""Symantec Management Agent"",""Process"",""8"",,""False"",,""3484"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""162"",""1976"",""."",""0"","""",""System.Diagnostics.ProcessModule (AeXAgentUIHost.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""13040"",""13040"",""2404352"",""2404352"",""177304"",""177304"",""2531328"",""2531328"",""8724480"",""8724480"",""94953472"",""94953472"",""True"",""Normal"",""2404352"",""2404352"",""00:00:00.1093750"",""AeXAgentUIHost"",""255"",""True"",""24"",""System.Diagnostics.ProcessStartInfo"",""28/06/2022 10:50:50"",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.1093750"",""00:00:00"",""91783168"",""91783168"",""False"",,,,""8691712"",""8691712"",,"
"AeXNSAgent,""0"",""835"",""270958592"",""8167424"",""75075584"",""117248"",,,,,,,,""Process"",""8"",,,,,,""835"",""2176"",""."",""0"","""",,,,,""117248"",""117248"",""75075584"",""75075584"",""309520"",""309520"",""84418560"",""84418560"",""38756352"",""38756352"",""332488704"",""332488704"",,,""75075584"",""75075584"",,""AeXNSAgent"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""270958592"",""270958592"",""False"",,,,""8167424"",""8167424"",,"
"AotListener,""0"",""265"",""550608896"",""23322624"",""19222528"",""17048"",,,,,,,,""Process"",""6"",,,,,,""265"",""3552"",""."",""0"","""",,,,,""17048"",""17048"",""19222528"",""19222528"",""271080"",""271080"",""19820544"",""19820544"",""23707648"",""23707648"",""555630592"",""555630592"",,,""19222528"",""19222528"",,""AotListener"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""550608896"",""550608896"",""False"",,,,""23322624"",""23322624"",,"
"bash,""0"",""131"",""429772800"",""5763072"",""3850240"",""6720"",,,,,,,,""Process"",""8"",,,,,,""131"",""5144"",""."",""0"","""",,,,,""6720"",""6720"",""3850240"",""3850240"",""51752"",""51752"",""3887104"",""3887104"",""5763072"",""5763072"",""429809664"",""429809664"",,,""3850240"",""3850240"",,""bash"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""429772800"",""429772800"",""False"",,,,""5763072"",""5763072"",,"
"bash,""0"",""173"",""437944320"",""7151616"",""3907584"",""8832"",,,,,,,,""Process"",""8"",,,,,,""173"",""6340"",""."",""0"","""",,,,,""8832"",""8832"",""3907584"",""3907584"",""56184"",""56184"",""4083712"",""4083712"",""7233536"",""7233536"",""442687488"",""442687488"",,,""3907584"",""3907584"",,""bash"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""437944320"",""437944320"",""False"",,,,""7151616"",""7151616"",,"
"BNPXE,""0"",""81"",""28897280"",""4370432"",""933888"",""9328"",,,,,,,,""Process"",""8"",,,,,,""81"",""1300"",""."",""0"","""",,,,,""9328"",""9328"",""933888"",""933888"",""55576"",""55576"",""1069056"",""1069056"",""4390912"",""4390912"",""32198656"",""32198656"",,,""933888"",""933888"",,""BNPXE"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""28897280"",""28897280"",""False"",,,,""4370432"",""4370432"",,"
"BNTFTP,""0"",""59"",""21499904"",""3612672"",""835584"",""6256"",,,,,,,,""Process"",""8"",,,,,,""59"",""1328"",""."",""0"","""",,,,,""6256"",""6256"",""835584"",""835584"",""43536"",""43536"",""1114112"",""1114112"",""3764224"",""3764224"",""24817664"",""24817664"",,,""835584"",""835584"",,""BNTFTP"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""21499904"",""21499904"",""False"",,,,""3612672"",""3612672"",,"
"CdfSvc,""0"",""103"",""28807168"",""5230592"",""1245184"",""7792"",,,,,,,,""Process"",""8"",,,,,,""103"",""1344"",""."",""0"","""",,,,,""7792"",""7792"",""1245184"",""1245184"",""59560"",""59560"",""1392640"",""1392640"",""5296128"",""5296128"",""32665600"",""32665600"",,,""1245184"",""1245184"",,""CdfSvc"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""28807168"",""28807168"",""False"",,,,""5230592"",""5230592"",,"
"conhost,""0"",""51"",""2199048806400"",""3608576"",""778240"",""5232"",,,,,,,,""Process"",""8"",,,,,,""51"",""1844"",""."",""0"","""",,,,,""5232"",""5232"",""778240"",""778240"",""54696"",""54696"",""897024"",""897024"",""3629056"",""3629056"",""25952256"",""2199049207808"",,,""778240"",""778240"",,""conhost"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""25550848"",""2199048806400"",""False"",,,,""3608576"",""3608576"",,"
"conhost,""0"",""51"",""2199048810496"",""3477504"",""782336"",""5360"",,,,,,,,""Process"",""8"",,,,,,""51"",""1864"",""."",""0"","""",,,,,""5360"",""5360"",""782336"",""782336"",""54344"",""54344"",""901120"",""901120"",""3497984"",""3497984"",""25956352"",""2199049211904"",,,""782336"",""782336"",,""conhost"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""25554944"",""2199048810496"",""False"",,,,""3477504"",""3477504"",,"
